Row #,Style Name,Example Image URL,Generation Prompt
11,Minimalism,https://blob.genspark.ai/d6e5f4a3-b2c1-4d0e-6f5a-4b3c2d1e0f9a?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Yo2ArO8hV6ZiLwMs5uXgSnPl7nDzFaIeK9JxW3EyTu1%3D,"Minimalist design style, clean simple lines, negative space usage, monochromatic color schemes, geometric shapes, modern aesthetic, less-is-more philosophy, contemporary art approach, refined simplicity, sophisticated restraint"
12,Maximalism,https://blob.genspark.ai/e5f4a3b2-c1d0-4e9f-5a4b-3c2d1e0f9a8b?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Zp3BsP9iW7ajMxNt6vYhToQm8oEzGaJfL0KyX4FzUv2%3D,"Maximalist style, bold vibrant colors, rich detailed patterns, eclectic mix of elements, layered textures, ornate decorations, more-is-more philosophy, expressive abundance, dynamic visual complexity, artistic exuberance"
13,Steampunk,https://blob.genspark.ai/f4a3b2c1-d0e9-4f8a-4b3c-2d1e0f9a8b7c?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Aq4CtQ0jX8bkNyOu7wZiUpRn9pF0HaKgM1LzY5G0Vw3%3D,"Steampunk aesthetic, Victorian era technology, brass and copper machinery, clockwork mechanisms, industrial design elements, retro-futuristic inventions, steam-powered devices, vintage scientific instruments, alternative history vibes"
14,Synthwave/Retrowave,https://blob.genspark.ai/a3b2c1d0-e9f8-4a7b-3c2d-1e0f9a8b7c6d?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Br5DuR1kY9clOzPv8xajVqSo0qG1IbLhN2MzZ6H1Wx4%3D,"Synthwave retrowave style, neon pink and blue colors, 80s nostalgia aesthetic, digital grid backgrounds, sunset gradients, retro futuristic elements, electronic music visuals, vintage computer graphics, cybernetic atmosphere"
15,Pop Art,https://blob.genspark.ai/b2c1d0e9-f8a7-4b6c-2d1e-0f9a8b7c6d5e?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Cs6EvS2lZ0dmP0Qw9ybkWrTp1rH2JcMiO3N0a7I2Xy5%3D,"Pop art style, bold primary colors, comic book aesthetics, halftone dot patterns, celebrity culture references, commercial art techniques, Andy Warhol inspired, mass media imagery, contemporary culture commentary, graphic design elements"
16,Watercolor,https://blob.genspark.ai/c1d0e9f8-a7b6-4c5d-1e0f-9a8b7c6d5e4f?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Dt7FwT3ma1enQ1Rx0zclXsUq2sI3KdNjP4O1b8J3Yz6%3D,"Watercolor painting style, soft flowing pigments, transparent color washes, organic bleeding effects, artistic brush strokes, delicate color transitions, traditional medium techniques, gentle artistic expression, fluid natural beauty"
17,Oil Painting,https://blob.genspark.ai/d0e9f8a7-b6c5-4d4e-0f9a-8b7c6d5e4f3a?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Eu8GxU4nb2foR2Sy1admYtVr3tJ4LeOkQ5P2c9K4Z07%3D,"Oil painting style, rich textured brushstrokes, classical fine art techniques, deep color saturation, traditional artistic medium, realistic rendering, masterful light and shadow, sophisticated artistic composition, timeless artistic quality"
18,Pixel Art,https://blob.genspark.ai/e9f8a7b6-c5d4-4e3f-9a8b-7c6d5e4f3a2b?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Fv9HyV5oc3gpS3Tz2benZuWs4uK5MfPlR6Q3d0L5a18%3D,"Pixel art style, 8-bit retro graphics, limited color palette, blocky digital aesthetics, video game nostalgia, crisp geometric forms, classic arcade game visuals, retro gaming culture, digital artistic precision"
19,Surrealism,https://blob.genspark.ai/f8a7b6c5-d4e3-4f2a-8b7c-6d5e4f3a2b1c?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Gw0IzW6pd4hqT4U03cfoa vXt5vL6NgQmS7R4e1M6b29%3D,"Surrealist art style, dreamlike imagery, impossible scenarios, subconscious exploration, bizarre juxtapositions, Salvador Dali inspired, psychedelic elements, abstract reality distortion, imaginative artistic expression, mysterious atmosphere"
20,Glassmorphism,https://blob.genspark.ai/a7b6c5d4-e3f2-4a1b-7c6d-5e4f3a2b1c0d?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Hx1J0X7qe5irU5V14dgpbwYu6wM7OhRnT8S5f2N7c30%3D,"Glassmorphism design style, translucent glass effects, frosted glass textures, modern UI design elements, subtle transparency layers, contemporary digital aesthetics, clean minimalist approach, sophisticated material design"
21,Coquette Aesthetic,https://blob.genspark.ai/b6c5d4e3-f2a1-4b0c-6d5e-4f3a2b1c0d9e?sv=2019-12-12&st=2025-01-24T14%3A20%3A54Z&se=2025-01-24T14%3A50%3A54Z&sr=b&sp=r&sig=Iy2K1Y8rf6jsV6W25ehqcxZv7xN8PiSoU9T6g3O8d41%3D,"Coquette aesthetic style, feminine romantic elements, soft pink color palette, delicate lace textures, vintage boudoir inspiration, elegant flirtation themes, sophisticated feminine charm, romantic vintage fashion, dreamy gentle atmosphere"
